"","term","estimate","std_error","statistic","p_value","lower_ci","upper_ci"
"393","DM$developer: Chillingo Ltd© 11 Bit Studios",-0.502,0.508,-0.989,0.323,-1.497,0.493
"394","DM$developer: Chillingo Ltd© Aardman 2011",-0.018,0.535,-0.033,0.973,-1.066,1.03
"395","DM$developer: Chillingo Ltd© Ars Thanea Games",0.098,0.675,0.145,0.885,-1.225,1.42
"396","DM$developer: Chillingo Ltd© CGMatic",-0.761,0.498,-1.527,0.127,-1.738,0.216
"397","DM$developer: Chillingo Ltd© Halfpixel Games",-1.371,0.49,-2.795,0.005,-2.332,-0.41
"398","DM$developer: Chillingo Ltd© Mobirate",0.058,0.584,0.099,0.921,-1.086,1.202
"399","DM$developer: Chillingo Ltd© Mokus",-0.686,0.618,-1.111,0.267,-1.897,0.524
"400","DM$developer: Chillingo Ltd© Odd Games",0.377,0.52,0.725,0.468,-0.642,1.397
"401","DM$developer: Chillingo Ltd© Playside Studios",-1.134,0.49,-2.314,0.021,-2.094,-0.173
"402","DM$developer: Chillingo Ltd© RedLynx 2011, All Rights Reserved",0.115,0.826,0.139,0.889,-1.503,1.733
"403","DM$developer: Chillingo Ltd© Turtles Entertainment",-1.113,0.675,-1.648,0.099,-2.437,0.211
"404","DM$developer: Chillingo Ltd© Wicked Witch",-0.688,0.496,-1.389,0.165,-1.66,0.283
"405","DM$developer: Chillingo Ltd© Yippee Entertainment",0.361,0.585,0.617,0.537,-0.786,1.508
"406","DM$developer: Chillingo Ltd© ZeptoLab",-0.866,0.49,-1.765,0.078,-1.827,0.096
"407","DM$developer: Chillingo Ltd© Zoink",-0.434,0.5,-0.867,0.386,-1.414,0.547
"408","DM$developer: China Business Network Co., Ltd CBN Weekly© 2012第一财经周刊CBNweekly",-0.912,0.52,-1.753,0.08,-1.931,0.108
"409","DM$developer: China Business Network Co., Ltd CBN Weekly© 《好运》编辑部",-0.666,0.56,-1.189,0.235,-1.763,0.432
"410","DM$developer: China Construction Bank© 2010 China Construction Bank Inc.",-0.32,0.548,-0.584,0.559,-1.395,0.754
"411","DM$developer: China Data Group© 华道信息处理（苏州）有限公司",-1.447,0.551,-2.624,0.009,-2.528,-0.366
"412","DM$developer: CHINA MERCHANTS BANK CO.,LTD.© 2012 招商银行股份有限公司",-1.414,0.548,-2.578,0.01,-2.488,-0.339
"413","DM$developer: CHINA MERCHANTS BANK CO.,LTD.© 招商银行股份有限公司",-0.19,0.523,-0.363,0.716,-1.214,0.834
"414","DM$developer: CHINA MOBILE GROUP GUANGDONG CO., LTD. MOBILE INTERNET BRANCH© 中国移动通信集团公司",-0.024,0.519,-0.046,0.963,-1.041,0.993
"415","DM$developer: China Mobile Group Guangdong Co., Ltd.China Mobile Group Guangdong Co., Ltd ©中国移动通信有限公司",-0.124,0.591,-0.21,0.833,-1.284,1.035
"416","DM$developer: China Southern Airlines Company Limited© 南方航空",-0.713,0.551,-1.295,0.195,-1.793,0.366
"417","DM$developer: China Travelsky Technology Limited2010-2012 中国民航信息网络股份有限公司 ©",-1.158,0.551,-2.103,0.035,-2.237,-0.079
"418","DM$developer: China TuJi toponym Information Technology Co.,Ltd© 神州图骥地名信息技术股份有限公司",-0.731,0.679,-1.075,0.282,-2.062,0.601
"419","DM$developer: China Wireless Arts© China Wireless Arts Technology Co., LTD.",-0.85,0.507,-1.678,0.093,-1.844,0.143
"420","DM$developer: chinaunicom system integration limited corporation© 中国联合网络通信有限公司",0.073,0.549,0.134,0.894,-1.002,1.149
"421","DM$developer: Chris John",-0.441,0.562,-0.785,0.433,-1.542,0.66
"422","DM$developer: Chunhui Gao© 2011 - 2012 Lovebizhi.com",-0.792,0.549,-1.443,0.149,-1.867,0.284
"423","DM$developer: Chunlei Huang© lei.Studio",-0.236,0.592,-0.398,0.691,-1.397,0.925
